Author,Articles,Year Range,Average
"Zhang, Han",4,2023-2024,2
"Zhang, Haomin (Stanley)",2,2016-2016,2
"Zhao, Nan",2,2024-2024,2
"Zhao, Xiaohui",2,2013-2013,2
"Zhang, Zhuo",2,2023-2023,2
"Zhang, Xiao C.",2,2020-2020,2
"Zhang, Zhitian Skylor",2,2021-2021,2
"Xie, Quan",2,2019-2019,2
"Tong, Michelle S.",2,2021-2021,2
"Tu, Chia Ching",2,2024-2024,2
"Tian, Yu",2,2024-2024,2
"Teng, Lin Sophie",2,2016-2016,2
"Teng, Shasha",2,2015-2015,2
"Wang, Haizhi",2,2018-2018,2
"Wang, Jian",2,2013-2013,2
"Wang, Chaoran",2,2024-2024,2
"Wan, Chang-Da",2,2018-2018,2
"Wang, Amy C.",2,2022-2022,2
"Tan, Jully",2,2022-2022,2
"Tan, Marietta",2,2021-2021,2
"Tai, Jonathan",2,2022-2022,2
"Sun, Ye",2,2013-2013,2
"Sun, Zhuo",2,2024-2024,2
"Tang, Shifang",2,2024-2024,2
"Tang, Tricia S.",2,2009-2009,2
"Tang, Kam Ki",2,2011-2011,2
"Tan, Mine G.",2,2020-2020,2
"Tang, BL",2,2005-2005,2
"Wang, Jianing",2,2023-2023,2
"Wu, Caren",2,2013-2013,2
"Wu, Eliza",2,2023-2023,2
"Wen, Han",4,2018-2019,2
"Wang, Zi",2,2021-2021,2
"Wei, Chin-Chuan",2,2015-2015,2
"Xiao, Feng",2,2016-2016,2
"Xie, Hui",2,2020-2020,2
"Xia, Yu",2,2022-2022,2
"Wu, Qishan",2,2014-2014,2
"Wu, Xiaoli",2,2013-2013,2
"Wang, Tzu-Yang",2,2023-2023,2
"WANG, XB",2,1994-1994,2
"Wang, Shudong",2,2008-2008,2
"Wang, Jyhwen",2,2015-2015,2
"Wang, Lihua",2,2012-2012,2
"Wang, Yuanhua",2,2024-2024,2
"Wang, Yuhan",2,2024-2024,2
"Wang, Yuan",2,2023-2023,2
"Wang, Xinran (Wendy)",2,2024-2024,2
"Wang, Xinyi",2,2024-2024,2
"Li, Mei",2,2011-2011,2
"Heng, Kreng",2,2014-2014,2
"Heng, Kok Hui John Gerard",2,2024-2024,2
"Chao, Tracy",2,2005-2005,2
"Hong, KS",2,2003-2003,2
"Hu, Jingchen",2,2020-2020,2
"Hou, Chenyu",2,2024-2024,2
"Hong, Moon Suk",2,2021-2021,2
"He, Jingyi",2,2024-2024,2
"Guo, Yan Ru",2,2015-2015,2
"Chen, Cher Weixia",2,2024-2024,2
"Gu, Peter",2,2022-2022,2
"Ha, Cheyeon",4,2023-2024,2
"Chen, Aleda M. H.",22,2014-2024,2
"Han, Siew Ping",2,2023-2023,2
"Han, David S.",2,2024-2024,2
"Hu, Luyu",2,2022-2022,2
"Huang, Jerry",2,2024-2024,2
"Huang, Daian",2,2024-2024,2
"Huang, Cen",2,2023-2023,2
"Huang, Lingyun",2,2021-2021,2
"Huang, Yaochong",2,2023-2023,2
"Huang, Simon",2,2021-2021,2
"Huang, Paoyi",2,2024-2024,2
"Hua, Zhu",2,2021-2021,2
"Hu, Shi",2,2017-2017,2
"Chang, RPH",2,2010-2010,2
"Hu, Peter",4,2022-2023,2
"Hu, Xin",2,2024-2024,2
"Hua, Henry",2,2021-2021,2
"Hu, Zijing",2,2024-2024,2
"Chang, Jeanie",2,2023-2023,2
"Gao, SJ",2,2000-2000,2
